id,# Pages / Video Length:,Abstract:,Author:,NSGL Document #:,Program Report #:,Project #:,Publication Type:,Publication Year :,Sea Grant Program/Affiliate:,Title:,Notes:,URL:,Source Citation:,Editor :,DOI #:,Publisher:,Grant/Contract #:
/Users/thalassa/github/nsgl/itemRecords-or-csv/10592215_2164_2815178.csv,1,Handout that describes the Oregon Coast STEM Hub program to the public.,"Goodwin, Cait",ORESU-E-14-005,ORESU-E-14-005,A/ESG-07,educational materials,2014,Oregon Sea Grant,"The Oregon Coast STEM Hub: Providing world-class science, technology, engineering, and mathematics (STEM) opportunities for K-14 educators and students along the Oregon Coast (fact sheet)",NA,NA,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10592261_2406_2815420.csv,2,"A handout describing the five-year project that is evaluating how climate change, population growth, and economic growth will alter the availability and the use of water in the Willamette River Basin on a decadal to centennial timescale. The project is a collaorative effort of faculty from Oregon State University, the University of Oregon, and Portland State University.","Haggerty, Roy;Bolte, John;Chan, Samuel;Hulse, David;Jaeger, William;Mote, Philip;Nolin, Anne;Wells, Scott",ORESU-G-14-007,ORESU-G-14-007,A/ESG-07,"advisory/extens​ion reports; fact sheets, posters",2014,Oregon Sea Grant,Willamette Water 2100: anticipating water scarcity and informing integrative water system response (fact sheet),NA,NA,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10592451_2405_2815419.csv,10,"A primer for the Willamette Water 2100 project (WW2100) that evaluates how climate change, population growth, and economic growth will alter the availability and the use of water in the Willamette River Basin on a decadal to centennial timescale. This document introduces the WW2100 model and the Reference Case Scenario, the first modeling scenario the team will be exploring.","Chan, Samuel",ORESU-G-14-008,ORESU-G-14-008,A/ESG-07,"advisory/extens​ion reports; fact sheets, posters",2014,Oregon Sea Grant,Introduction to the Willamette Water 2100 model and the reference case scenario,"A handout for workshop held at the Chemeketa Eola Events Center, Salem, Oregon, March 18, 2014.",NA,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10592479_397_2813411.csv,NA,"The website of the Oregon Coast STEM Hub program. The Oregon Coast STEM Hub promotes integrated science, technology, engineering and math education and serves coastal teachers, students and communities. It is one of six Regional STEM Hubs funded in 2014-2015 by the Oregon Department of Education. The Oregon Coast STEM Hub is centered at OSU's Hatfield Marine Science Center in Newport and serves the entire Oregon coast region. Employment opportunities along the Oregon Coast have been growing in fields such as scientific research, marine technology, natural resource management, and eco-tourism. To prepare our local students for jobs in these and other STEM fields, and to help improve STEM literacy among all citizens, the Hub seeks to expand and improve the opportunities for students and teachers to engage in STEM learning.","Goodwin, Cait",ORESU-I-14-002,ORESU-I-14-002,A/ESG-07,"web/blog sites (topical), other web-based resources",2014,Oregon Sea Grant,Oregon Coast STEM Hub website,NA,"<table width=""82"" style=""WIDTH: 62pt; BORDER-COLLAPSE: collapse"" border=""0"" cellspacing=""0"" cellpadding=""0""> <colgroup> <col width=""82"" style=""WIDTH: 62pt; mso-width-source: userset; mso-width-alt: 2998""> </colgroup><tbody> <tr height=""17"" style=""HEIGHT: 12.75pt""> <td width=""82"" height=""17"" class=""xl141"" style=""BORDER-TOP: blue; HEIGHT: 12.75pt; BORDER-RIGHT: blue; WIDTH: 62pt; BORDER-BOTTOM: blue; BORDER-LEFT: blue; BACKGROUND-COLOR: transparent"">http://oregonco​aststem.oregons​tate.edu/ </td></tr></tbody></table>",NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10592517_396_2813410.csv,NA,"The blogsite of the Oregon Coast STEM Hub program. The Oregon Coast STEM Hub promotes integrated science, technology, engineering and math education and serves coastal teachers, students and communities. It is one of six Regional STEM Hubs funded in 2014-2015 by the Oregon Department of Education. The Oregon Coast STEM Hub is centered at OSU's Hatfield Marine Science Center in Newport and serves the entire Oregon coast region. Employment opportunities along the Oregon Coast have been growing in fields such as scientific research, marine technology, natural resource management, and eco-tourism. To prepare our local students for jobs in these and other STEM fields, and to help improve STEM literacy among all citizens, the Hub seeks to expand and improve the opportunities for students and teachers to engage in STEM learning.","Goodwin, Cait",ORESU-I-14-003,ORESU-I-14-003,A/ESG-07,"web/blog sites (topical), other web-based resources",2014,Oregon Sea Grant,Oregon Coast STEM Hub blog,NA,http://blogs.or​egonstate.edu/o​regoncoaststem/​,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10592537_395_2813409.csv,NA,"Facebook page of the Oregon Coast STEM Hub. The Oregon Coast STEM Hub promotes integrated science, technology, engineering and math education and serves coastal teachers, students and communities. It is one of six Regional STEM Hubs funded in 2014-2015 by the Oregon Department of Education. The Oregon Coast STEM Hub is centered at OSU's Hatfield Marine Science Center in Newport and serves the entire Oregon coast region. Employment opportunities along the Oregon Coast have been growing in fields such as scientific research, marine technology, natural resource management, and eco-tourism. To prepare our local students for jobs in these and other STEM fields, and to help improve STEM literacy among all citizens, the Hub seeks to expand and improve the opportunities for students and teachers to engage in STEM learning.","Goodwin, Cait",ORESU-I-14-004,ORESU-I-14-004,A/ESG-07,"web/blog sites (topical), other web-based resources",2014,Oregon Sea Grant,Oregon Coast STEM Hub Facebook,NA,https://www.fac​ebook.com/Orego​nCoastSTEM,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593139_2404_2815418.csv,NA,Oregon Coast STEM Hub December 2014 e-newsletter.,"Goodwin, Cait",ORESU-N-14-01a,ORESU-N-14-01a,A/ESG-07,periodicals,2014,Oregon Sea Grant,Oregon Coast STEM Hub e-Blast (December 2014),NA,http://oregonco​aststemhub.cmai​l1.com/t/ViewEm​ail/t/B380F46B6​6E30F96/99F7373​3C9363AC0C9C291​422E3DE149,NA,NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593161_2163_2815177.csv,5,"Summary of the Willamette Water 2100 Spring 2014 Workshop held in Salem, Oregon. This is a preliminary report that recaps the meeting, summarizes comments participants made during roundtable discussions and in a post-meeting survey, and summarizes the research team's response to these comments.","Ferguson, Laura;Wright, Maria;Chan, Sam",ORESU-W-14-001,ORESU-W-14-001,A/ESG-07,conference/work​shop proceedings,2014,Oregon Sea Grant,Willamette Water 2100: Spring 2014 workshop summary,NA,NA,"Willamette Water 2100, workshop summary, Salem, Oregon, March 18, 2014",NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593240_2403_2815417.csv,1,"Policies and their influence on ecosystem management are ideally informed by the best available science. Cultural, institutional, and practical barriers can impede or bias that process. Recognizing this gap, and incentivized by funders, academic researchers increasingly collaborate beyond their disciplines and institutions and use stakeholder engagement in studies informing natural resources and ecosystems management. The NSF-funded “Climate Change and Water Sustainability – Willamette Water 2100” (WW2100) project brings together scientists from 12 disciplines in a co-learning realm with a diverse array of water users, managers, and regulators to develop and model future climate, population, and land-use policy scenarios to predict where, when, and how water scarcity might manifest and, in turn, how ecosystems, disturbances, and land-use may be impacted. This research characterizes the scientist-​stakeholder engagement process through three principle questions: 1) Who is participating? 2) Why are participants involved in this project? 3) What are the participants’ perceptions of the project’s process and outcome? Through a mixed methods approach including semi-structured interviews of key informants and survey data from a self-selected sample of the research and stakeholder population, this research takes a grounded-theory approach to understand the social dynamics and the outcome of a large transdisciplina​ry NSF project.","Ferguson, Laura;Chan, Sam;Santelmann, Mary;Tilt, Bryan",ORESU-WR-14-012,ORESU-WR-14-012,A/ESG-07,reprints (not peer-reviewed),2014,Oregon Sea Grant,"Can long-term engagement in learning and action networks lead to a stakeholder-​scientist ""happily ever after""? (poster presentation)",NA,NA,"State of the Conference, poster presentation, Heceta Head, Florence, Oregon, October 26, 2014",NA,NA,NA,NA
/Users/thalassa/github/nsgl/itemRecords-or-csv/10593321_2162_2815176.csv,1,"This poster describes how Oregon State University staff, with partners in the Oregon Coast Regional STEM Center, received funding from NOAA’s Marine Debris Program to leverage existing partnerships to develop an integrated STEAMSS curriculum that educates 4th through 12th grade students about the causes and impacts of marine debris and empowers them to make a difference in their communities. The curriculum focuses on the connectivity of all watersheds to the ocean, and how the students will gain a greater understanding of the origins and distribution of marine debris as they participate in activities such as designing, launching, and tracking biodegradable drifters, and the collection and analysis of debris from schoolyards to beaches.","Crews, Tracy;Goodwin, Cait;Carlin-Morgan, Kerry;McDonald, Ruth",ORESU-WR-14-013,ORESU-WR-14-013,A/ESG-07,reprints (not peer-reviewed),2014,Oregon Sea Grant,"Engaging students in marine debris efforts utilizing a comprehensive, integrated science, technology, engineering, arts, mathematics, and social studies curriculum (poster presentation)",NA,NA,"2014 Ocean Sciences Meeting, poster presentation, Honolulu, Hawaii, February 23-28, 2014; Northwest Aquatic and Marine Educators Annual Conference, poster presentation, Bandon, Oregon, July 13-17, 2014",NA,NA,NA,NA
