[EOSMAIN|22553586|1|2681650, USC Sea Grant Strategic Plan 2014-2017
EOSMAIN|5054641|2|2681651, University of California Sea Grant Annual Report 1971-1972
EOSMAIN|6048603|3|2681652, California and the World Ocean '02: revisiting and revising California's ocean agenda
EOSMAIN|5054710|4|2681653, University of California Sea Grant College Program Annual Report 1975-1976
EOSMAIN|5054659|5|2681654, University of California Sea Grant College Program Annual Report 1972-1973
EOSMAIN|5236796|6|2681655, California Sea Grant College Program Annual Summary 1980-1981
EOSMAIN|22750818|7|2681656, The Urban Mariner USC Sea Grant Newsletter (April 2020-January 2021)
EOSMAIN|6457287|8|2681657, Research and Outreach Needs to Address the Nation's Fisheries Problems
EOSMAIN|5261424|9|2681658, Making Waves: California's Sea Grant Program 5-Year Report 1977-1982
EOSMAIN|5393927|10|2681659, California Sea Grant Biennial Report, 1982-1984
EOSMAIN|5413942|11|2681660, Sea Grant: A National Resource for Marine Research and Education; A Summary Report of the California Sea Grant College Program
EOSMAIN|5352268|12|2681661, California and the Pacific: Exploring the Exclusive Economic Zone - A Summary Report of the California Sea Grant College Program, 1982-1984
EOSMAIN|5054743|13|2681662, University of California's Sea Grant Program: A Review, February 1978
EOSMAIN|5054758|14|2681663, California's Sea Grant Program: Summary of the Review Report February 1978
EOSMAIN|5826678|15|2681664, Sea Grant in Brief (January, April, and November-December 1999): Newsletter of the California Sea Grant College Program
EOSMAIN|17658211|16|2681665, Sea Grant: An Ocean of Activity
EOSMAIN|22529237|17|2681666, Regional Priority-Setting to Minimize Health, Social, and Economic Disruptions from Oil Spills: A Summary Report as part of the National Academies and Sea Grant Collaborative Workshop Series
EOSMAIN|5933664|18|2681667, California Sea Grant turns 30
EOSMAIN|5054803|19|2681668, California Sea Grant College Program: A Summary 1978-1979
EOSMAIN|22373424|20|2681669, California Sea Grant Extension (Program Report)
EOSMAIN|5448188|21|2681670, California Sea Grant Biennial Report of Completed Projects 1984-1986
EOSMAIN|5054726|22|2681671, University of California Sea Grant College Program Annual Report 1976-1977
EOSMAIN|6096537|23|2681672, Extension education and applied research to improve marine resource management
EOSMAIN|5592312|24|2681673, The management and enhancement of sea urchins and other kelp bed resources: a Pacific rim perspective
EOSMAIN|5191815|25|2681674, University of Southern California Sea Grant Annual Report 1971-1972
