,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-01-029
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Competition for space among sessile marine invertebrates: changes in HSP70 expression in two Pacific cnidarians
3,Author:,"Rossi, Sergi"
4,,"Snyder, Mark J."
5,Publication Year :,2001
6,Source Citation:,"""Biological Bulletin,"" 201:385-393, December 2001."
7,# Pages / Video Length:,9
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/A-108
10,Abstract:,"The role of stress proteins of the HSP70 family in intra- and interspecific competition for space was examined in two sessile Pacific cnidarians, ""Anthopleura elegantissima"", an intertidal anemone, and ""Corynactis californica"", a subtidal corallimorphari​an. The authors tested two main hypotheses: first, that stress produced by space competition can induce HSP expression to counter the effects of aggressive neighbors; second, that HSP expression can provide a quantitative assay for space competition in sessile invertebrates."
