,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-01-004
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Fish sauce products and manufacturing: a review
3,Author:,"Lopetcharat, K."
4,,"Choi, Yeung J."
5,,"Park, Jae W."
6,,"Daeschel, Mark A."
7,Publication Year :,2001
8,Source Citation:,"""Food Reviews International,"" 17(1):65-88, 2001."
9,# Pages / Video Length:,34
10,Publication Type:,reprints (peer-reviewed)
11,Program Report #:,ORESU-R-01-004
12,Project #:,R/SF-19
13,Abstract:,"This review article covers the manufacturing methods of fish sauce, factors affecting the quality of fish sauce, nutritional values of fish sauce, microorganisms involved with fermentation, and flavor. In addition, rapid fermentation to reduce time and new parameters to estimate the quality of fish sauce are reviewed. The quantitative analysis of degradation compounds from ATP and other specific protein compounds in fish sauce are also discussed."
