,MetadataField,Metadata
0,NSGL Document #:,ORESU-V-12-010
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Common health management issues associated with production of native fish species (YouTube video)
3,Author:,"Mercy, T. V. Anna"
4,Publication Year :,2012
5,# Pages / Video Length:,17 minutes
6,Publication Type:,videos
7,Program Report #:,ORESU-V-12-010
8,Project #:,A/ESG-07
9,URL:,http://www.yout​ube.com/watch?v​=nZSO0jEtn_E&li​st=UUkM5rgmnig1​CYOhXh6cJAXA
10,Abstract:,"""Common Health Management Issues Associated with Production of Native Fish Species"" T.V. Anna Mercy, Ph.D Professor Faculty of Fisheries Kerala University of Fisheries & Ocean Studies Panangad, Cochin 682506 Kerala, India"
