,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-96-005
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Comparison of submersible-​survey and hydroacoustic- survey estimates of fish density on a rocky bank
3,Author:,"Starr, Richard M."
4,,"Fox, David S."
5,,"Hixon, Mark A."
6,,"Tissot, Brian N."
7,,"Johnson, Gary E."
8,,"Barss, William H."
9,Publication Year :,1996
10,Source Citation:,"""Fishery Bulletin,"" 94(1):113-123, 1996."
11,# Pages / Video Length:,11
12,Publication Type:,reprints (peer-reviewed)
13,Project #:,R/EA-1
14,Abstract:,"Submersible belt-transect surveys along a rocky bottom were combined with acoustic surveys of the water column to estimate depth distribution and density of fishes at Stonewall Bank, Oregon, in the northeastern Pacific Ocean. The objectives of the study were to determine the porportion of fish in the water column that were not detected by submersible survey techniques and to compare estimates of fish density near the bottom from submersible surveys with density estimates from hydroacoustic surveys. Submersible surveys provided estimates of fish density near the bottom and provided valuable ground-truth for acoustic equipment. Hydroacoustic surveys provided estimates of fish density in the portions of the water column not observed on submersible transects and provided additional information on the vertical and horizontal distribution of fishes. The combined use of submersible and acoustic sampling techniques provided a better understanding of how fish use rocky banks that did either technique alone."
