,MetadataField,Metadata
0,NSGL Document #:,WASHU-H-99-002
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"Sand filter: homeowner's manual for the operation, monitoring, and maintenance of a sand filter on-site sewage treatment and disposal system"
3,Author:,"Leaf, Charles D."
4,,"King, Teri"
5,Publication Year :,1999
6,# Pages / Video Length:,45
7,Publication Type:,"handbooks, manuals, guides"
8,Program Report #:,WSG-AS 99-03
9,Project #:,A/P-07
10,Abstract:,"This manual is intended to help sand filter on-site sewage treatment and disposal system owners operate, monitor, and maintain their systems in a knowledgeable manner. The manual reviews components, operation, and regulations of this type of septic system."
