,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-88-007
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Influx and transepithelial flux of amino acids in the mussel, ""Mytilus edulis"""
3,Author:,"Rice, Michael A."
4,,"Stephens, Grover A."
5,Publication Year :,1988
6,Source Citation:,"""Journal of Experimental Biology,"" 135:275-287, 1988."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,RA-60
9,Abstract:,"This work is an investigation of the transport role of tissues lining the mantle cavity and a quantitative comparison of the role of these epithelia in amino acid uptake with that of the gills of ""Mytilus"". Evidence is presented for rapid translocation of FAA to internal tissues of the animals."
